name,type,condition,quantity,price,available,comments,link,image
Ikea NOT light,Floor light,good,1,15,no,comes with additional bulbs,http://www.ikea.com/ca/en/catalog/products/30145129/,not-light.JPG
Ikea Fado light,Desk light,excellent,1,15,no,,http://www.ikea.com/ca/en/catalog/products/70096377/?query=fado,
Ikea Ekby Tore (2),Shelving,excellent,1,5,yes,,http://blog.schertz.name/wp-content/uploads/2014/04/image22.png,
Sonic Large Sofa: Blue,Sofa,excellent,1,200,yes,,https://www.shop.ca/c/shopca-direct-home-sonic-blue-microsuede-sofa-large-SONICB92S-22731450,couch-1.JPG
Ikea Bjursta Extendible Dining Table,Dining Table,ok,1,75,yes,visible wear on tabletop,http://www.ikea.com/ca/en/catalog/products/50116809/,table.JPG
Golds Gym Door Trainer,Pull up bar,good,1,10,no,,https://www.amazon.com/Multi-Training-WARRANTY-RECHARGEABLE-INCLUDED-PURCHASE/dp/B003JKM114,pull-up-bar.JPG
Bike Fenders - Roadracer Mk2,Bike Fenders,excellent,1,10,no,for bikes without screw eyelets to put your fenders,http://www.wiggle.com/crud-roadracer-mk2-mudguard-set/,roadracer.JPG
Ikea Linmon Desk Top (with 2 Lergberg Trestles),Desk,excellent,1,50,no,"monitor/computer, printer, etc not included ;)",http://www.ikea.com/ca/en/catalog/products/20251139/#/50251350,desk.JPG
Ikea Ivar Dining Chair (4),Dining Chairs,good,4,15,no,"Each chair is $15, together $50",http://www.ikea.com/ca/en/catalog/products/90263902/,chair.JPG
Ikea Billy Bookcase,Book Case,excellent,1,40,no,,http://www.ikea.com/aa/en/catalog/products/80279791/,billy-bookcase.JPG
Cuisinart Pressure Cooker,Cooking,good,1,50,yes,,http://www.bedbathandbeyond.ca/store/product/cuisinart-6-quart-electric-pressure-cooker/1014463330?skuId=14463330&mcid=PS_googlepla_nonbrand__&adpos=1o1&creative=40241825010&device=c&matchtype=&network=g&gclid=Cj0KEQjwwry8BRDjsbjMpPSDvagBEiQA5oW0nFwPZre_fJ3K7_yWPtV5CjXjrB9mQApYc9ZQBGp7KfMaArrW8P8HAQ,pressure-cooker.JPG
Coffee Table,coffee table,ok,1,20,no,some light scratches on surface (size: 2.5ft x 4ft x 1.5ft),,coffee-table.JPG
Night Stand (1),night stand,ok,1,10,no,light paint damage on leg and some scratches on surface,,night-stand-1.JPG
Arm Chair,Arm Chair,ok,1,20,yes,,,arm-chair.JPG
Ikea Beddinage Futon Couch ,Futon Couch,excellent,1,80,yes,image from ikea website,http://www.ikea.com/ca/en/catalog/products/S99089418/#/S79089419,futon-couch.png
Planet bike fenders (front and back),Bike Fenders,good,1,15,yes,need to purchase the elastic straps (https://www.mec.ca/en/product/5019-498/Freddy-Fender-SpeedEZ-Rubber-Strap-Pair),https://www.mec.ca/en/product/5009-474/SpeedEZ-Road-Fenders---35mm,planetbike-fenders.JPG
Raceblade XL bike fenders (front and back),Bike Fenders,ok,1,20,yes,need to purchase the elastic straps (https://www.mec.ca/en/product/5019-498/Freddy-Fender-SpeedEZ-Rubber-Strap-Pair),https://www.mec.ca/en/product/5037-666/Raceblade-XL-Clip-On-Fenders,raceblade-xl.JPG
Bodom Coffee Press with travel press,Coffee Press,good,1,25,yes,come with large coffee press and travel press mug, http://www.bodum.com/ca/en-us/shop/detail/10938-01B/ + http://www.bodum.com/ca/en-us/shop/detail/11100-01BUS/,
